"","Origin","Q1","Q2","Q3","Q4","Total"
"1","Syrian Arab Rep.",9473,9497,15685,21696,56351
"2","Russian Federation",8126,16551,9819,5283,39779
"3","Afghanistan",9758,9687,9367,9841,38653
"4","Iraq",6911,7568,10535,13157,38171
"5","Serbia and Kosovo",5522,10311,9540,9287,34660
"6","Pakistan",5589,7516,7381,5824,26310
"7","Islamic Rep. of Iran",6524,7054,5278,5023,23879
"8","Somalia",4485,5583,6966,6037,23071
"9","Eritrea",2976,2830,7896,8135,21837
"10","China",4686,5376,5240,4868,20170
"11","Nigeria",3322,3413,3995,4154,14884
"12","Stateless",1902,1880,4175,4016,11973
"13","Albania",2276,2642,2640,3720,11278
"14","Sri Lanka",3429,3568,1796,1762,10555
"15","Egypt",1795,1992,3090,2907,9784
"16","Bangladesh",1707,2978,2725,2249,9659
"17","Mexico",2830,2964,2171,1446,9411
"18","Georgia",2341,2045,2334,2380,9100
"19","Algeria",2126,2744,2228,1744,8842
"20","Dem. Rep. of the Congo",2078,2072,2062,2319,8531
"21","Former Yugoslavia",898,1339,2615,2879,7731
"22","Mali",2174,2041,1932,1450,7597
"23","Turkey",1956,1624,1361,1514,6455
"24","Guinea",1519,1483,1673,1671,6346
"25","Morocco",1333,1711,1533,1313,5890
"26","India",1370,1562,1617,1323,5872
"27","Bosnia and Herzegovina",909,835,1739,2247,5730
"28","El Salvador",1352,1756,1363,460,4931
"29","Armenia",1319,1189,1039,1313,4860
"30","Sudan",984,1050,1150,1400,4584
"31","Tunisia",1310,1263,907,990,4470
"32","Guatemala",1201,1398,1145,677,4421
"33","Ethiopia",889,959,1355,1181,4384
"34","Gambia",815,944,1148,1436,4343
"35","Haiti",939,987,820,828,3574
"36","Senegal",643,644,936,1223,3446
"37","Ghana",612,745,806,815,2978
"38","Cote d'Ivoire",766,800,749,636,2951
"39","Honduras",755,987,823,280,2845
"40","Cameroon",678,732,686,693,2789
"41","Other",15588,15557,18933,23400,73478
