"","Country","Literacy.Data"
"1","Albania",97
"2","Angola",70
"3","Antigua",99
"4","Argentina",98
"5","Armenia",100
"6","Azerbaijan",100
"7","Bahrain",92
"8","Bangladesh",58
"9","Belarus",100
"10","Benin",42
"11","Bolivia",91
"12","Bosnia and Herzegovina",98
"13","Botswana",85
"14","Brazil",90
"15","Brunei",95
"16","Bulgaria",98
"17","Burkina Faso",29
"18","Burundi",67
"19","Ivory Coast",57
"20","Cape Verde",85
"21","Cambodia",74
"22","Cameroon",71
"23","Central African Republic",57
"24","Chad",35
"25","Chile",99
"26","China",95
"27","Colombia",94
"28","Comoros",76
"29","Costa Rica",96
"30","Croatia",99
"31","Cuba",100
"32","Cyprus",99
"33","North Korea",100
"34","Democratic Republic of the Congo",67
"35","Dominican Republic",90
"36","Ecuador",92
"37","Egypt",74
"38","El Salvador",85
"39","Equatorial Guinea",94
"40","Eritrea",69
"41","Estonia",100
"42","Ethiopia",39
"43","Gabon",89
"44","Gambia",51
"45","Georgia",100
"46","Ghana",67
"47","Greece",97
"48","Guatemala",76
"49","Guinea",41
"50","Guinea-Bissau",55
"51","Guyana",85
"52","Honduras",85
"53","Hungary",99
"54","Indonesia",93
"55","Iran",85
"56","Iraq",79
"57","Italy",99
"58","Jamaica",87
"59","Jordan",96
"60","Kazakhstan",100
"61","Kenya",87
"62","Kuwait",94
"63","Kyrgyzstan",99
"64","Latvia",100
"65","Lebanon",90
"66","Lesotho",90
"67","Liberia",61
"68","Libya",90
"69","Lithuania",100
"70","Madagascar",65
"71","Malawi",61
"72","Malaysia",93
"73","Mali",33
"74","Mauritania",59
"75","Mauritius",89
"76","Mexico",94
"77","Mongolia",97
"78","Montenegro",99
"79","Morocco",67
"80","Mozambique",56
"81","Myanmar",93
"82","Namibia",89
"83","Nepal",57
"84","Nigeria",61
"85","Oman",87
"86","Pakistan",55
"87","Panama",94
"88","Papua New Guinea",62
"89","Paraguay",94
"90","Peru",90
"91","Philippines",95
"92","Poland",100
"93","Portugal",95
"94","Qatar",96
"95","Moldova",99
"96","Romania",98
"97","Russia",100
"98","Rwanda",66
"99","Samoa",99
"100","Sao Tome and Principe",89
"101","Saudi Arabia",87
"102","Senegal",50
"103","Serbia",98
"104","Seychelles",92
"105","Sierra Leone",43
"106","Singapore",96
"107","Slovenia",100
"108","South Africa",93
"109","Spain",98
"110","Sri Lanka",91
"111","Suriname",95
"112","Swaziland",88
"113","Syria",84
"114","Tajikistan",100
"115","Macedonia",97
"116","Timor-Leste",58
"117","Togo",60
"118","Trinidad",99
"119","Tunisia",79
"120","Turkey",94
"121","Turkmenistan",100
"122","Uganda",73
"123","Ukraine",100
"124","Tanzania",73
"125","Uruguay",98
"126","Uzbekistan",99
"127","Vanuatu",83
"128","Venezuela",96
"129","Vietnam",93
"130","Yemen",65
"131","Zambia",71
"132","Zimbabwe",84
